SerialNumber,Capacity
CZJ9430HDN,457.83
CZJ9430HFR,457.83
CZJ03707R2,457.83
CZJ9430HDX,457.83
CZJ042019M,457.821
CZJ9430HFX,457.83
CZJ00800FX,457.83
CZJ03707R4,457.83
CZJ03707RB,457.83
CZJ03707QZ,457.83
CZJ93401BC,457.83
CZJ9430HFM,457.83
CZJ0200BT1,457.83
CZJ03504LN,457.83
CZJ03504LH,457.83
CZJ9430HF6,457.83
CZJ042019N,457.821
CZJ03707RD,457.83
CZJ93401BJ,457.83
CZJ9430HF2,457.83
CZJ03707RK,457.83
CZJ03707R0,457.83
CZJ03504L5,457.83
CZJ9430HDM,457.83
CZJ03707QJ,457.83
CZJ03504LT,457.83
CZJ03504L7,457.83
CZJ9430HDL,457.83
CZJ0200BSZ,457.821
CZJ901009J,457.83
CZJ9430HFG,457.83
CZJ03504L0,457.83
CZJ9430HFC,457.83
CZJ0200BSW,457.821
CZJ901009P,457.83
CZJ9430HDT,457.83
CZJ9430HFJ,457.83
CZJ9430HFY,457.83
CZJ03504L3,457.83
CZJ03504L2,457.83
CZJ0200BSN,457.821
CZJ85005BR,457.83
CZJ03504LL,457.83
CZJ9430HDV,457.83
CZJ03504LR,457.83
CZJ03504LM,457.83
CZJ9430HFV,457.83
CZJ901009G,457.83
CZJ9430HDP,457.83
CZJ9430HFQ,457.83
CZJ00800FZ,457.83
CZJ0200BSP,457.821
CZJ0200BSY,457.821
CZJ9430HF7,457.83
CZJ03707RP,457.83
CZJ0200BSQ,457.821
CZJ9430HDY,457.83
CZJ03707RR,457.83
CZJ934026M,457.83
CZJ0200BSR,457.821
CZJ9430HFF,457.83
CZJ0200BSX,457.821
CZJ03707RJ,457.83
CZJ03707RH,457.83
CZJ934026L,457.83
CZJ00800FW,457.83
CZJ9430HF5,457.83
CZJ11300P9,457.821
CZJ11300PB,457.821
CZJ11300PC,457.821
CZJ11300PF,457.821
CZJ11300PD,457.821
CZJ11300PG,457.821
CZJ11300PH,457.821
CZJ11300PJ,457.821
CZJ11300P1,457.821
CZJ11300P2,457.821
CZJ11300P3,457.821
CZJ11300P4,457.821
CZJ11300P5,457.821
CZJ11300P6,457.821
CZJ11300P7,457.821
CZJ11300P8,457.821
CZJ0070731,457.83
CZJ007073D,457.83
CZJ007073D,915.66
CZJ007073D,457.83
CZJ007072N,457.83
CZJ007072T,457.83
CZJ007072Y,457.83
CZJ0070734,457.83
CZJ0070739,457.83
CZJ007072G,457.83
CZJ007072J,457.83
CZJ007072W,457.83
CZJ007073G,457.83
CZJ007073G,915.66
CZJ007073G,457.83
CZJ007072K,457.83
CZJ007072R,457.83
CZJ0070738,457.83
CZJ007072V,457.83
CZJ007072M,457.83
CZJ007072M,915.66
CZJ007072M,457.83
CZJ0070733,457.83
CZJ007072P,457.83
CZJ0070730,457.83
CZJ0070732,457.83
CZJ007072Q,457.83
CZJ007072Q,915.66
CZJ007072Q,457.83
CZJ007073F,457.83
CZJ007073C,457.83
CZJ007072X,457.83
CZJ007072F,457.83
CZJ007072H,457.83
CZJ0070737,457.83
CZJ007072Z,457.83
CZJ007072Z,915.66
CZJ007072Z,457.83
CZJ007072D,457.83
CZJ0070736,457.83
CZJ007073H,457.83
CZJ007073B,457.83
CZJ0070735,457.83
CZJ007072L,457.83
CZJ007072S,457.83
CZJ85005BN,457.83
CZJ0200BT5,457.83
CZJ0180345,457.821
CZJ018033Y,457.83
CZJ0200BTH,457.83
CZJ9430M0M,1831.388
CZJ9100837,457.83
CZJ244050J,572.293
CZJ85005BK,457.83
CZJ0200BTK,457.83
CZJ018033Z,457.821
CZJ0180340,457.821
CZJ0200BTJ,457.83
CZJ85005B8,457.83
CZJ910051W,1526.153
CZJ9430HHY,1831.388
CZJ85005BP,457.83
CZJ00607BC,457.83
CZJ0180342,457.821
CZJ0180344,457.821
CZJ85005B7,457.83
CZJ9430HHW,1831.388
CZJ244050H,572.293
CZJ901009L,457.83
CZJ042019Q,457.83
CZJ0180343,457.83
CZJ0180341,457.821
